0.13491,0.11496
0.19414,0.16070
0.24684,0.23586
0.30459,0.30205
0.36776,0.32934
0.42164,0.30986
0.42759,0.26455
0.36901,0.23346
0.28961,0.23264
0.23787,0.25048
0.20939,0.26166
0.19354,0.25632
0.20733,0.26555
0.25542,0.28861
0.32275,0.27544
0.37277,0.23087
0.36421,0.21017
0.31690,0.24315
0.28501,0.31689
0.28882,0.37360
0.31692,0.36742
0.33261,0.32109
0.31048,0.27854
0.27460,0.25706
0.25004,0.23841
0.22861,0.19859
0.19567,0.16409
0.14954,0.16829
0.10620,0.19104
0.09358,0.20611
0.12497,0.20997
0.17807,0.21061
0.22512,0.22860
0.25990,0.26941
0.26947,0.31083
0.24258,0.31871
0.19606,0.26371
0.14043,0.16535
0.07562,0.09368
0.01415,0.09208
-0.03610,0.12709
-0.07523,0.13074
-0.10766,0.09010
-0.13450,0.05813
-0.12749,0.07306
-0.06868,0.12356
0.00915,0.17312
0.07380,0.19230
0.12064,0.18159
0.14133,0.14433
0.11929,0.08634
0.07123,0.05216
0.05605,0.06280
0.08620,0.08044
0.11291,0.09499
0.13157,0.12332
0.16172,0.15254
0.18649,0.18328
0.21264,0.23644
0.25996,0.28995
0.30644,0.30697
0.34128,0.30451
0.38276,0.31387
0.41880,0.31479
0.41710,0.28871
0.38649,0.26884
0.36828,0.26462
0.37990,0.24462
0.40146,0.22027
0.40400,0.23179
0.38647,0.27937
0.37705,0.32788
0.39353,0.34453
0.43179,0.33555
0.46396,0.33648
0.45617,0.36170
0.43496,0.40694
0.45715,0.45428
0.51433,0.45772
0.55125,0.39734
0.52619,0.31456
0.44208,0.25807
0.35374,0.24095
0.30959,0.25122
0.31115,0.28556
0.34277,0.34136
0.38675,0.37869
0.42537,0.36921
0.45352,0.34628
0.46652,0.34940
0.45223,0.38570
0.41730,0.42534
0.38815,0.41048
0.37218,0.33416
0.34975,0.26325
0.31447,0.24923
0.29257,0.27083
0.29310,0.26914
0.28667,0.23852
0.26968,0.23204
0.26017,0.25813
0.24773,0.28800
0.23612,0.32086
0.24633,0.34713
0.27129,0.34529
0.29897,0.31499
0.30899,0.26711
0.28141,0.22837
0.24732,0.21207
0.23185,0.20220
0.21545,0.20861
0.20107,0.23633
0.20435,0.24741
0.21248,0.23220
0.21279,0.21610
0.20384,0.21420
0.19108,0.23238
0.18957,0.25131
0.19731,0.23969
0.18951,0.20628
0.15576,0.18397
0.12182,0.18014
0.12789,0.17715
0.17007,0.16658
0.18811,0.15216
0.15180,0.13096
0.10438,0.11018
0.09258,0.10853
0.12193,0.13428
0.17499,0.18864
0.21889,0.24208
0.22856,0.24630
0.22403,0.21538
0.23394,0.19617
0.24140,0.18718
0.22319,0.17412
0.19979,0.16570
0.21401,0.16581
0.27573,0.16483
0.32864,0.16056
0.31812,0.17098
0.26670,0.20087
0.21208,0.22336
0.16572,0.22383
0.15126,0.21159
0.17168,0.20401
0.18816,0.22064
0.17656,0.24491
0.14566,0.23315
0.11844,0.18824
0.11233,0.15070
0.11672,0.12510
0.10112,0.08159
0.04814,0.02604
-0.01864,0.00520
-0.04839,0.02957
-0.03109,0.06650
-0.01631,0.09962
-0.03804,0.12372
-0.07880,0.12722
-0.10326,0.11214
-0.08346,0.08570
-0.03902,0.04465
-0.03590,-0.00525
-0.08579,-0.04033
-0.12738,-0.05004
-0.12788,-0.04432
-0.11625,-0.01730
-0.12253,0.03034
-0.13160,0.05159
-0.12050,0.01400
-0.10677,-0.04980
-0.11340,-0.08198
-0.14021,-0.05270
-0.17004,0.00539
-0.16702,0.03157
-0.12484,0.00448
-0.08848,-0.05870
-0.09074,-0.10951
-0.11430,-0.09624
